sector,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
Accommodation and Food Services,38724,9,14775,11306
Administrative and Support and Waste Management and Remediation Services,37232,60,14924,11045
"Agriculture, Forestry, Fishing and Hunting",18302,34,7140,5844
"Arts, Entertainment, and Recreation",20811,12,6590,6910
Construction,76050,185,25948,23039
Educational Services,19025,9,5792,3854
Finance and Insurance,822,2,356,123
Health Care and Social Assistance,294136,45,131182,62658
Information,3817,1,2268,484
Management of Companies and Enterprises,1640,1,725,471
Manufacturing,251377,173,83756,96379
"Mining, Quarrying, and Oil and Gas Extraction",1555,8,494,463
Other Services,12298,8,4096,3773
"Professional, Scientific, and Technical Services",6182,4,1731,1067
Public Administration,46615,51,22664,10179
Real Estate and Rental and Leasing,8334,9,3579,1918
Retail Trade,183918,39,67365,56827
Transportation and Warehousing,229080,128,110360,88983
Unknown,409,0,162,188
Utilities,10291,9,4511,2795
Wholesale Trade,64100,38,26401,24368
